代號,名稱,年/月,營業利益率,稅後淨利率,每股盈餘,ROE(A)－稅後,速動比率,負債比率,來自營運之現金流量,營收成長率,股利殖利率,現金股利率,普通股每股現金股利（盈餘及公積）,交易所主產業代碼,利息保障倍數,總資產週轉次數,存貨週轉率（次）,平均收帳天數,平均售貨天數
1438,裕豐,2019/12,-74690.91,-95627.27,-0.1,-2.02,1883.25,11.92,"-10,677",-35.29,0,0,0,M2500,,0,0,0,1603208.14
1439,中和,2019/12,-28.69,556.03,10.46,41.34,13693.05,0.69,"-159,512",-34.47,14.97,14.97,5,M1400,7977.15,0.07,0,19.9,0
1440,南紡,2019/12,-3.34,0.51,0.06,0.47,54.03,44.69,"2,346,985",-8.01,1.9,1.9,0.2,M1400,1.06,0.52,4.04,32.48,90.26
1441,大東,2019/12,-19.6,-22.65,-3.06,-24.75,20.8,56.8,"-242,005",-9.69,0,0,0,M1400,-6.28,0.53,2.93,38.1,124.52
1442,名軒,2019/12,-6.02,14.44,0.33,1.95,6.09,57.5,"-1,981,420",-26.34,5.09,5.09,1,M2500,14050.8,0.06,0.06,11.29,6134.73
1443,立益,2019/12,14.32,0.41,0.02,0.94,7.34,84.63,"-141,990",-37.61,0,0,0,M1400,1.1,0.14,3.26,81.2,112.02
1444,力麗,2019/12,0.86,-0.53,0.06,-0.55,62.57,37.33,"1,102,189",-6.78,0,0,0,M1400,1.03,0.65,4.22,40.4,86.5
1445,大宇,2019/12,-4.39,-2.94,-0.3,-2.35,235.46,17.41,"110,845",-12.83,2.78,2.78,0.2,M1400,-7860,0.66,2.41,56.84,151.56
1446,宏和,2019/12,-0.33,0.05,0,0.02,17.91,63.4,"-502,549",23.06,0.79,0.79,0.3,M1400,1.24,0.14,0.15,28.58,2488.29
1447,力鵬,2019/12,-2.13,-1.67,-0.29,-2.38,81.68,44.17,"469,442",-17.16,0,0,0,M1400,-3.91,0.79,4.7,50.78,77.63
1449,佳和,2019/12,-6.04,-4.42,-0.7,-14.54,10.95,88.94,"-7,714",1.5,0,0,0,M1400,0.42,0.4,2.58,32.53,141.66
1451,年興,2019/12,-1.23,-0.81,-0.35,-0.94,181.24,22.96,"-11,725",-2.64,0,0,0,M1400,-13.26,0.88,3.29,68.77,110.95
1452,宏益,2019/12,9.13,9.18,1.33,7.04,926.71,7.6,"130,582",-9.98,6.45,6.45,1.2,M1400,4746.49,0.7,5.47,52.92,66.77
1453,大將,2019/12,-162.6,-101.47,-0.46,-3.49,1358.08,2.93,"15,649",58.29,2.5,0,0,M1400,,0.03,0.15,2.03,2355.96
1454,台富,2019/12,1.49,1.83,0.28,2.28,120.12,25.45,"130,177",-2.23,3.21,3.21,0.25,M1400,18.91,0.93,2.98,34.58,122.46
1455,集盛,2019/12,-3.73,-2.56,-0.49,-4.09,86.51,25.15,"1,749,437",-25.21,0,0,0,M1400,-24.98,1.12,5.85,54.47,62.44
1456,怡華,2019/12,7.26,2.4,0.27,2.15,15.05,76.13,"61,597",125.04,0,0,0,M1400,1.42,0.21,0.33,54.56,1094.86
1457,宜進,2019/12,17.19,14.02,1.02,8.42,34.47,59.33,"58,932",-27.9,3.48,3.48,1,M1400,5.63,0.23,3.74,57.38,97.64
1459,聯發,2019/12,-6.34,-2.71,-0.27,-2.72,113.53,49.64,"532,792",-11.28,0,0,0,M1400,-0.45,0.47,7.68,39.31,47.51
1460,宏遠,2019/12,-0.47,-3.07,-0.56,-5.44,26.04,64.19,"31,576",-5.76,0,0,0,M1400,-0.3,0.68,1.62,47.74,225.81
1463,強盛,2019/12,2.49,21.91,0.7,5.12,834.69,9.78,"270,946",-43.08,4.62,4.62,0.6,M1400,5662.08,0.21,2.63,55.06,138.74
1464,得力,2019/12,7.34,5.63,1.61,10.7,72.79,66.63,"603,988",19.57,5.76,5.76,1.5,M1400,4.24,0.62,2.87,69.72,127.39
1465,偉全,2019/12,-23.98,131.71,3.2,-14.83,790.92,16.62,"5,130",1.73,9.84,9.84,1.5,M1400,-8948.18,0.3,3.09,39.37,118.15
1466,聚隆,2019/12,-0.18,-3.01,-0.89,-6.22,94.76,54.67,"63,346",-19.79,0,0,0,M1400,-3.65,0.93,4.2,54.1,86.98
1467,南緯,2019/12,-0.88,-2.48,-0.74,-6.76,74.18,63.22,"131,873",-6.32,0,0,0,M1400,0.61,0.99,4.22,56.87,86.47
1468,昶和,2019/12,-5.27,5.15,0.31,4.64,73.82,54.3,"123,119",9.63,0,0,0,M1400,2.95,0.4,1.26,28.02,288.64
1470,大統新創,2019/12,10.53,9.27,0.88,7.88,300.57,16.35,"95,193",8.44,3.85,3.85,0.8,M1400,143.39,0.71,3.98,65.75,91.65
1471,首利,2019/12,-34.01,-38.33,-2.37,-43.12,77.58,48.75,"-160,381",-27.46,0,0,0,M2300,-36.79,0.63,12.86,132.4,28.37
1472,三洋紡,2019/12,17.04,12.24,1.23,14.17,43.58,68.36,"-237,324",-24.41,0,0,0,M1400,7.99,0.39,4.34,45.3,84.06
1473,台南,2019/12,0.97,1.05,0.55,2.1,106.32,34.55,"385,317",-7.99,2.01,2.01,0.5,M1400,2.57,1.29,6.68,59.84,54.61
1474,弘裕,2019/12,0.05,1.13,0.4,2.04,92.9,47.54,"152,240",-4.57,0,0,0,M1400,4.75,0.93,3.67,70.34,99.52
1475,本盟,2019/12,-45.14,28.16,-1.28,58.62,46.44,67.14,"-30,994",5.97,0,0,0,M1400,103.8,0.73,5.41,48.57,67.43
1476,儒鴻,2019/12,19.45,15.29,15.67,24.55,149.61,22.28,"5,867,572",1.98,2.73,2.73,11,M1400,86.98,1.24,4.72,44.37,77.38
1477,聚陽,2019/12,9.21,7.13,8.66,21.34,48.6,37.66,"1,690,909",13.03,3.17,3.17,5,M1400,21.52,1.9,6.42,10.26,56.89
1503,士電,2019/12,7.15,6.68,3.21,7.21,69.08,39.46,"1,410,052",4.22,3.54,3.54,1.6,M1500,45.34,0.64,4.56,85.12,80.04
1504,東元,2019/12,7.38,7.34,1.65,5.86,152.83,37.73,"5,928,542",-4.38,3.78,3.78,0.99,M1500,17.83,0.5,3.42,78.29,106.62
1506,正道,2019/12,-23.42,-31.2,-2.52,-34.29,34.74,67.69,"16,001",-2.21,0,0,0,M1500,-9.75,0.41,2.11,103.84,173.19
1507,永大,2019/12,6.19,7.14,2.3,8.56,88.12,47.27,"759,054",-7.67,3.42,3.42,2.2,M1500,1294,0.63,2,97.28,182.68
1512,瑞利,2019/12,-9.77,-24.28,-2.14,-94.09,52.54,89.92,"65,565",-37.2,0,0,0,M2200,-8.91,0.65,4.44,134.53,82.19
1513,中興電,2019/12,5.29,5.16,1.55,8.28,41.15,61.35,"1,666,354",1.16,4.94,4.94,1.2,,15.8,0.67,2.04,50.72,178.54
1514,亞力,2019/12,5.75,6.17,1.44,9.93,91.95,46.53,"353,450",12.69,6.7,3.91,0.7,M1500,31.62,0.84,3.4,130.73,107.29
1515,力山,2019/12,8.78,16.1,7.01,18.61,101.56,50.01,"1,563,538",27.75,4.2,4.2,3,M1500,30.18,1.14,9.22,63.66,39.6
1516,川飛,2019/12,2.04,1.98,0.4,3.55,501.74,17.67,"86,786",-25.96,2.54,0.51,0.08,M9900,,1.57,0,93.33,0
1517,利奇,2019/12,-2.78,0.53,0.06,0.49,259.2,26.74,"70,453",0.1,2.18,2.18,0.2,M1500,,0.66,4.15,92.81,87.95
